Latitude,Longitude,Station,Name,Latitude,Elevation(m),Network,station_id
33.2347,-119.4528,KNSI,SAN NICOLAS,33.2347,153,COOP,4150
32.9453,-85.9481,10160,ALEXANDER CI,32.9453,224,COOP,7868
33.21,-88.2878,10184,ALICEVILLE L,33.21,50,COOP,7872
34.9092,-87.2747,10260,ANDERSON,34.9092,209,COOP,7874
34.7772,-86.9511,10390,ATHENS,34.7772,207,COOP,7880
33.4528,-87.3572,10505,BANKHEAD LOC,33.4528,85,COOP,7890
33.3953,-87.0078,10764,BESSEMER 3 W,33.3953,136,COOP,7900
32.6731,-86.6653,10823,BILLINGSLEY,32.6731,136,COOP,7904
34.2008,-86.1633,10957,BOAZ,34.2008,326,COOP,7911
33.1106,-86.7461,11288,CALERA,33.1106,162,COOP,7921
34.1503,-85.7017,11490,CENTRE,34.1503,183,COOP,7928
33.2822,-86.3436,11620,CHILDERSBURG,33.2822,127,COOP,7936
32.82,-86.6522,11694,CLANTON,32.82,186,COOP,7939
31.8844,-85.4789,11725,CLAYTON,31.8844,152,COOP,7940
31.7556,-88.1283,11810,COFFEEVILLE,31.7556,7,COOP,7944
32.5192,-87.8794,12245,DEMOPOLIS LO,32.5192,30,COOP,7967
34.4406,-85.7236,13043,FORT PAYNE,34.4406,280,COOP,7994
32.8347,-88.1342,13160,GAINESVILLE,32.8347,38,COOP,7999
31.0383,-85.8708,13251,GENEVA NO 2,31.0383,44,COOP,8002
34.3344,-86.3297,13573,GUNTERSVILLE,34.3344,176,COOP,8015
34.2311,-87.6347,13620,HALEYVILLE,34.2311,280,COOP,8020
34.0967,-87.9914,13645,HAMILTON 3 S,34.0967,133,COOP,8022
33.6483,-85.6006,13775,HEFLIN,33.6483,259,COOP,8028
33.2533,-87.45,13930,HOLT LOCK AN,33.2533,59,COOP,8034
33.8167,-85.7664,14209,JACKSONVILLE,33.8167,209,COOP,8045
33.9053,-87.315,14226,JASPER,33.9053,148,COOP,8047
32.9069,-85.4336,14502,LAFAYETTE 2,32.9069,226,COOP,8051
34.4856,-87.2933,15635,MOULTON 2,34.4856,197,COOP,8105
33.9478,-86.4692,16121,ONEONTA,33.9478,272,COOP,8117
32.6592,-85.4492,16129,OPELIKA,32.6592,195,COOP,8118
34.5528,-86.4453,16196,OWENS CROSS,34.5528,180,COOP,8120
33.3753,-88.02,16847,REFORM,33.3753,73,COOP,8151
33.1592,-85.2892,17025,ROCK MILLS,33.1592,227,COOP,8157
32.41,-87.0153,17366,SELMA,32.41,24,COOP,8170
33.2053,-86.2114,17999,SYLACAUGA 4,33.2053,149,COOP,8184
33.4164,-86.135,18024,TALLADEGA,33.4164,137,COOP,8186
33.2097,-87.5936,18385,TUSCALOOSA O,33.2097,46,COOP,8200
32.7028,-85.8936,18653,WALNUT HILL,32.7028,125,COOP,8216
32.7744,-87.8306,18673,WARRIOR LOCK,32.7744,21,COOP,8219
33.1178,-87.1267,18809,WEST BLOCTON,33.1178,152,COOP,8223
34.2589,-86.8988,18812,VINEMONT 2NN,34.2589,280,COOP,8224
33.9111,-87.8475,18998,WINFIELD 2 S,33.9111,143,COOP,8232
33.8492,-109.1469,20159,ALPINE,33.8492,2454,COOP,8245
31.9792,-111.3831,20287,ANVIL RANCH,31.9792,838,COOP,8249
33.4625,-111.4814,20288,APACHE JUNCT,33.4625,631,COOP,8250
31.5722,-111.335,20380,ARIVACA,31.5722,1103,COOP,8257
34.5972,-113.1739,20586,BAGDAD,34.5972,1205,COOP,8274
35.23,-111.8214,20678,BELLEMONT NW,35.23,2180,COOP,8285
36.6778,-110.5411,20750,BETATAKIN,36.6778,2221,COOP,8289
36.1533,-109.5394,21248,CANYON DE CH,36.1533,1710,COOP,8322
33.8161,-111.9019,21282,CAREFREE,33.8161,771,COOP,8324
32.8889,-111.7147,21306,CASA GRANDE,32.8889,428,COOP,8326
32.4175,-110.93,21357,CATALINA SP,32.4175,814,COOP,8331
32.0061,-109.3572,21664,CHIRICAHUA N,32.0061,1615,COOP,8347
31.3456,-110.2542,22140,CORONADO N M,31.3456,1598,COOP,8364
33.4192,-111.6444,22782,EAST MESA,33.4192,463,COOP,8390
33.3947,-110.7933,23501,GLOBE #3,33.3947,1116,COOP,8428
34.3925,-110.5581,23961,HEBER BLACK,34.3925,2009,COOP,8456
31.6017,-109.6686,25418,MC NEAL,31.6017,1271,COOP,8529
35.0333,-111.0167,25494,METEOR CRATE,35.0333,1584,COOP,8532
31.4447,-110.9642,25924,NOGALES 6 N,31.4447,1085,COOP,8563
35.0653,-109.7814,26190,PAINTED DESE,35.0653,1756,COOP,8574
31.9352,-109.2187,26242,PARADISE,31.9352,1664,COOP,8578
32.6467,-111.4014,26513,PICACHO 8 SE,32.6467,558,COOP,8602
34.5706,-112.4322,26796,PRESCOTT,34.5706,1586,COOP,8620
32.3903,-110.4667,27036,REDINGTON,32.3903,896,COOP,8625
32.8117,-111.6314,27187,ROBSON RCH,32.8117,456,COOP,8632
32.6014,-110.6339,27530,SAN MANUEL,32.6014,1055,COOP,8664
32.2714,-109.2256,27560,SAN SIMON,32.2714,1100,COOP,8666
31.4831,-111.5436,27619,SASABE,31.4831,1094,COOP,8673
31.5717,-111.5047,27625,SASABE 6 NNE,31.5717,1065,COOP,8675
35.3322,-112.8797,27716,SELIGMAN,35.3322,1600,COOP,8679
34.2639,-110.0075,27855,SHOW LOW AIR,34.2639,1954,COOP,8690
31.5553,-110.2847,27880,SIERRA VISTA,31.5553,1402,COOP,8692
34.1289,-109.2897,28162,SPRINGERVILL,34.1289,2152,COOP,8704
33.9733,-109.5631,28326,SUNRISE MOUN,33.9733,2856,COOP,8713
35.3694,-111.5436,28329,SUNSET CRATE,35.3694,2128,COOP,8714
32.7225,-113.9192,28396,TACNA 3 NE,32.7225,99,COOP,8721
