"y","x","z","t","note"
35.909959,-79.050328,146.5,"2024-01-19T16:29:19Z","hello I am waypoint 0"
35.909978,-79.050279,145.5,"2024-01-19T16:29:23Z","hello I am waypoint 1"
35.909964,-79.050214,144,"2024-01-19T16:29:26Z","hello I am waypoint 2"
35.909962,-79.05011,144,"2024-01-19T16:29:32Z","hello I am waypoint 3"
35.909978,-79.05001,143,"2024-01-19T16:29:38Z","hello I am waypoint 4"
35.910008,-79.04993,144,"2024-01-19T16:29:42Z","hello I am waypoint 5"
35.910013,-79.049809,143,"2024-01-19T16:29:50Z","hello I am waypoint 6"
35.910119,-79.049639,142,"2024-01-19T16:30:07Z","hello I am waypoint 7"
35.910185,-79.049685,142,"2024-01-19T16:30:13Z","hello I am waypoint 8"
35.910348,-79.049859,144,"2024-01-19T16:30:31Z","hello I am waypoint 9"
35.910425,-79.049957,144,"2024-01-19T16:30:39Z","hello I am waypoint 10"
35.910519,-79.050005,146,"2024-01-19T16:30:49Z","hello I am waypoint 11"
35.910594,-79.050006,146,"2024-01-19T16:30:57Z","hello I am waypoint 12"
35.910645,-79.05003,148.1,"2024-01-19T16:31:03Z","hello I am waypoint 13"
35.91072,-79.050089,144,"2024-01-19T16:31:11Z","hello I am waypoint 14"
35.910801,-79.050171,148,"2024-01-19T16:31:21Z","hello I am waypoint 15"
35.910864,-79.050205,147,"2024-01-19T16:31:28Z","hello I am waypoint 16"
35.911032,-79.05023,148,"2024-01-19T16:31:44Z","hello I am waypoint 17"
35.911071,-79.050281,147,"2024-01-19T16:31:54Z","hello I am waypoint 18"
35.911002,-79.050381,148.8,"2024-01-19T16:32:15Z","hello I am waypoint 19"
